carrier,lat,lon
La Poste,49.406595,6.154748
La Poste,49.357805,6.187714
La Poste,50.474869,3.245483
La Poste,45.801399,4.825637
La Poste,48.873196,2.640175
La Poste,49.909327,2.508649
La Poste,49.698352,2.79339
La Poste,48.526958,2.38016
La Poste,43.189398,5.626637
La Poste,43.318298,5.42384
La Poste,49.899871,3.627264
La Poste,44.838198,-0.616891
La Poste,43.529586,3.932173
La Poste,49.01425,6.393318
La Poste,43.368262,5.635311
La Poste,49.052748,7.423009
La Poste,48.76686,7.256482
La Poste,50.700697,3.141176
La Poste,50.3868,3.601504
La Poste,45.6643,4.9568
La Poste,45.50189,6.052516
La Poste,43.3689,5.3566
La Poste,43.6338627,3.83273031
La Poste,50.530299,2.80445
La Poste,48.952899,2.312548
La Poste,48.692945,2.608479
La Poste,48.399472,2.798132
La Poste,48.858492,2.907276
La Poste,48.781507,3.305963
La Poste,48.741013,2.736146
La Poste,49.01455,2.70878
La Poste,48.239255,2.902199
La Poste,48.847095,3.230326
La Poste,48.956867,2.949124
La Poste,48.909696,2.179199
La Poste,48.742799,1.961786
La Poste,48.8149,1.904837
La Poste,48.9186,1.975578
La Poste,48.798095,2.067406
La Poste,48.980193,1.974779
La Poste,48.3182,2.0005
La Poste,48.491707,2.190443
La Poste,48.646014,2.072712
La Poste,48.402998,2.469198
La Poste,48.713298,2.363147
La Poste,48.619897,2.489937
La Poste,48.615095,2.504456
La Poste,48.790192,2.312026
La Poste,48.782853,2.244642
La Poste,48.8994,2.1901
La Poste,48.862391,2.577929
La Poste,48.909083,2.43792
La Poste,48.876795,2.551398
La Poste,48.865897,2.533685
La Poste,48.786297,2.541517
La Poste,48.9900649,2.41819869
La Poste,47.38773,0.827069
La Poste,49.077796,6.076727
La Poste,50.762995,3.00709
La Poste,49.165421,2.246377
La Poste,45.874897,4.840927
La Poste,48.672995,2.325939
La Poste,49.294992,-0.377395
La Poste,44.259673,4.19749949
La Poste,48.148576,-1.773894
La Poste,49.505399,0.200638
La Poste,48.973402,2.343054
La Poste,44.912392,-0.724464
La Poste,50.704192,3.093209
La Poste,45.7455362,6.29355946
La Poste,49.47052,5.824073
La Poste,48.621336,7.48721
La Poste,43.6668157,7.04775649
La Poste,44.349232,4.767895
La Poste,47.50698,7.003746
La Poste,48.6022,2.5689
La Poste,43.489411,3.669246
La Poste,45.350413,5.504628
La Poste,49.0738544,2.67251979
La Poste,46.067442,4.648783
La Poste,43.392459,3.101046
La Poste,45.200197,5.83566
La Poste,48.880996,2.345149
La Poste,47.088906,-1.276797
La Poste,43.650982,1.326205
La Poste,50.267194,2.777789
La Poste,49.5056153,2.436836
La Poste,45.56197,4.27624
La Poste,47.913339,1.875288
La Poste,43.7917,7.272286
La Poste,48.801561,2.986492
La Poste,50.753192,3.121889
La Poste,44.7854,-0.491893
La Poste,46.994249,-1.821921
La Poste,49.044294,6.598829
